,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
1896,"Census Tract 809, Queens County, New York!!Estimate",641,587,39.3,"67,891","86,227","2,885",0,0,3.9,"256,400","1,233",602,"1,001","6,767","2,960","2,691",(X),"7,246",71.74685945,42.4,"Census Tract 809, Queens County, New York","Census Tract 809, Queens County, New York!!Percent",3.00%,0.00%,5.50%,4.90%,2.80%,7.40%,1.40%,0.00%,7.00%,11.20%,32.70%,11.80%,7.60%,7.80%,3.50%,95.30%,69.50%,0.00%,0.00%,32.80%,0.00%,22.40%,23.60%,16.10%,3.20%,9.30%,1.10%,54.80%,17.10%,27.10%,36.70%,5.70%,7.20%,37.10%,3.60%,21.80%,54.00%,7.60%,0.60%,32.40%,15.70%,809,7034,14000US36081080900,36081080900,MHI - Stable Exclusion,NY,1004960,0,0.388,0,40.7338814,-73.8223557,0
1897,"Census Tract 814, Queens County, New York!!Estimate",454,638,46.6,"61,754","73,358","1,083",3.3,8.5,5.3,"410,100","2,270",683,"1,532","4,091","1,911","1,744",(X),"4,091",84.61191336,33.3,"Census Tract 814, Queens County, New York","Census Tract 814, Queens County, New York!!Percent",10.10%,0.00%,9.20%,3.90%,1.40%,15.10%,9.70%,1.40%,6.90%,6.80%,25.70%,9.00%,5.00%,5.90%,1.10%,88.90%,51.70%,0.00%,0.00%,26.30%,3.80%,18.20%,18.60%,22.90%,13.70%,15.70%,1.00%,80.10%,12.00%,45.40%,36.30%,13.00%,12.90%,18.90%,7.40%,14.60%,15.40%,43.30%,0.00%,23.40%,18.40%,814,7035,14000US36081081400,36081081400,MHI - Advanced Gentrification,NY,369558,0,0.143,0,40.6707019,-73.8039344,1
1898,"Census Tract 818, Queens County, New York!!Estimate",372,768,49.3,"58,621","78,939","1,087",3.1,0,5.8,"434,500","2,851",812,"1,405","4,533","2,307","2,064",(X),"4,542",106.1733999,35.4,"Census Tract 818, Queens County, New York","Census Tract 818, Queens County, New York!!Percent",12.60%,0.00%,6.50%,4.00%,0.60%,9.50%,15.40%,2.40%,9.20%,10.40%,21.20%,6.50%,10.30%,3.90%,8.40%,87.90%,52.30%,0.00%,0.60%,28.40%,1.00%,22.60%,16.50%,21.70%,12.50%,10.70%,6.20%,64.50%,9.80%,41.00%,28.90%,16.00%,9.90%,10.60%,9.30%,12.00%,11.60%,34.30%,1.50%,23.40%,18.80%,818,7036,14000US36081081800,36081081800,MHI - Stable Exclusion,NY,374600,0,0.145,0,40.6705172,-73.8090759,0
1899,"Census Tract 837, Queens County, New York!!Estimate",301,602,41.9,"51,122","62,872","1,677",0.7,11.1,5.1,"595,600","2,840",758,"1,290","5,436","3,781","3,771",(X),"5,444",102.8315946,42,"Census Tract 837, Queens County, New York","Census Tract 837, Queens County, New York!!Percent",6.50%,0.00%,4.80%,6.70%,4.00%,12.30%,5.20%,2.70%,6.80%,13.40%,15.90%,17.60%,10.00%,0.70%,7.60%,78.60%,49.90%,0.00%,0.00%,35.30%,4.60%,19.10%,29.60%,22.00%,7.30%,9.80%,1.50%,50.20%,15.10%,42.00%,33.20%,17.70%,15.20%,19.60%,1.80%,16.80%,12.10%,0.10%,0.70%,80.50%,8.60%,837,7037,14000US36081083700,36081083700,LI - Not Losing Low-Income Households,NY,780782,0,0.301,0,40.7447536,-73.8197846,0
1900,"Census Tract 838, Queens County, New York!!Estimate",348,859,49.4,"71,220","85,235","1,753",4.1,3.4,5.5,"465,000","2,519",769,"1,532","5,705","2,972","2,762",(X),"5,705",102.8083896,38.2,"Census Tract 838, Queens County, New York","Census Tract 838, Queens County, New York!!Percent",7.90%,0.50%,8.10%,5.40%,2.50%,8.70%,13.70%,2.70%,8.70%,9.60%,23.00%,7.00%,6.70%,3.40%,2.40%,89.30%,56.20%,0.00%,0.00%,37.40%,2.50%,24.00%,20.00%,36.50%,12.90%,3.40%,1.40%,69.90%,10.80%,38.60%,34.20%,8.10%,12.00%,20.00%,3.20%,14.00%,29.70%,11.40%,2.60%,30.70%,26.00%,838,7038,14000US36081083800,36081083800,MHI - Stable Exclusion,NY,495382,0,0.191,0,40.6702951,-73.8195098,0
1901,"Census Tract 840, Queens County, New York!!Estimate",463,968,47.5,"53,750","69,688","1,965",0,5.6,5.8,"430,300","2,467",650,"1,147","6,342","3,626","3,346",(X),"6,342",83.50694444,37,"Census Tract 840, Queens County, New York","Census Tract 840, Queens County, New York!!Percent",10.30%,0.00%,7.20%,3.70%,2.60%,15.50%,12.70%,0.50%,7.20%,9.80%,24.00%,6.30%,6.70%,3.70%,8.50%,92.60%,57.90%,0.00%,0.00%,28.20%,0.00%,15.50%,21.60%,24.00%,9.80%,4.20%,1.00%,69.50%,11.60%,31.60%,29.70%,12.80%,14.10%,16.30%,3.50%,15.50%,16.20%,20.10%,0.30%,27.00%,21.30%,840,7039,14000US36081084000,36081084000,LI - Not Losing Low-Income Households,NY,568482,0,0.219,0,40.6739493,-73.8176533,0
1902,"Census Tract 845, Queens County, New York!!Estimate",100,480,37.1,"25,258","40,992","2,227",0,5.7,3.2,"495,500","1,980",843,993,"4,584","3,483","3,392",(X),"4,630",90.37828947,47.6,"Census Tract 845, Queens County, New York","Census Tract 845, Queens County, New York!!Percent",1.30%,0.00%,5.40%,8.80%,1.30%,6.00%,5.30%,0.90%,8.90%,9.30%,26.10%,15.30%,12.30%,0.40%,20.00%,78.80%,33.70%,0.00%,2.30%,88.20%,1.20%,44.40%,65.50%,3.90%,3.70%,5.40%,3.90%,64.40%,26.00%,38.20%,24.30%,13.90%,20.80%,14.60%,1.20%,30.10%,7.80%,12.50%,0.00%,63.00%,17.00%,845,7040,14000US36081084500,36081084500,LI - At Risk of Gentrification,NY,188676,0,0.073,0,40.7499613,-73.820228,1
1903,"Census Tract 846.01, Queens County, New York!!Estimate",161,375,48.5,"70,208","76,935",917,2.7,1.6,5.2,"547,400","2,533",963,"1,517","2,762","1,453","1,338",(X),"2,762",96.72364672,42.5,"Census Tract 846.01, Queens County, New York","Census Tract 846.01, Queens County, New York!!Percent",12.50%,0.00%,8.10%,7.00%,4.80%,5.60%,10.20%,3.30%,9.60%,9.90%,20.30%,7.50%,9.20%,4.50%,5.00%,88.60%,59.60%,0.00%,0.70%,37.50%,1.60%,17.70%,12.10%,22.60%,15.20%,4.40%,0.90%,69.50%,13.50%,39.60%,38.80%,9.90%,8.00%,23.80%,1.20%,15.70%,30.60%,9.90%,0.50%,21.30%,28.20%,846.01,7041,14000US36081084601,36081084601,MHI - Stable Exclusion,NY,333236,0,0.129,0,40.6673404,-73.8217246,0
1904,"Census Tract 846.02, Queens County, New York!!Estimate",71,188,43.4,"59,286","73,281",255,0,19.3,5.6,"457,800","2,842",850,"1,920",923,521,512,(X),"1,123",133.4719335,35.8,"Census Tract 846.02, Queens County, New York","Census Tract 846.02, Queens County, New York!!Percent",14.20%,0.00%,4.70%,3.90%,0.00%,7.00%,32.20%,0.00%,9.10%,11.10%,14.40%,13.40%,4.10%,0.00%,3.50%,89.20%,44.90%,0.00%,0.00%,29.40%,5.70%,12.30%,7.50%,46.10%,14.90%,18.40%,0.00%,77.60%,5.70%,54.00%,33.60%,6.80%,8.90%,17.60%,4.50%,8.90%,11.20%,18.50%,0.00%,33.90%,27.70%,846.02,7042,14000US36081084602,36081084602,MHI - Advanced Gentrification,NY,717562,0,0.277,0,40.6651262,-73.8165809,1
1905,"Census Tract 849, Queens County, New York!!Estimate",627,"1,194",35.6,"26,512","36,807","2,619",21.8,5.1,3.3,"468,200","2,261",850,"1,446","8,073","5,679","5,598",(X),"8,073",94.81177606,36.5,"Census Tract 849, Queens County, New York","Census Tract 849, Queens County, New York!!Percent",10.30%,0.00%,2.90%,5.10%,2.50%,7.10%,10.30%,0.50%,3.80%,7.70%,11.10%,36.80%,12.30%,0.00%,12.10%,72.50%,24.80%,0.00%,1.40%,90.60%,5.60%,39.60%,64.90%,4.80%,0.00%,15.50%,17.80%,20.90%,10.90%,37.10%,32.00%,17.60%,16.40%,10.60%,1.40%,14.20%,3.50%,6.90%,0.40%,73.50%,13.80%,849,7043,14000US36081084900,36081084900,LI - Not Losing Low-Income Households,NY,303514,0,0.117,0,40.7547072,-73.8329997,0
1906,"Census Tract 853, Queens County, New York!!Estimate",143,188,40.5,"36,546","45,939","2,100",5.7,0,3.4,"409,600","1,810",841,"1,423","4,385","3,750","3,724",(X),"4,395",73.1678487,49.5,"Census Tract 853, Queens County, New York","Census Tract 853, Queens County, New York!!Percent",3.50%,0.00%,5.00%,1.50%,0.70%,10.70%,9.50%,1.90%,7.70%,3.90%,17.60%,24.30%,15.50%,1.60%,9.10%,76.70%,34.60%,0.00%,1.30%,64.50%,0.70%,32.90%,62.40%,2.80%,0.80%,8.90%,2.00%,33.30%,16.90%,32.80%,34.90%,16.60%,11.20%,21.80%,1.10%,22.70%,6.60%,1.80%,0.60%,89.50%,4.30%,853,7044,14000US36081085300,36081085300,LI - Ongoing Displacement of Low-Income Households,NY,195226,0,0.075,0,40.757152,-73.8276531,0
1907,"Census Tract 855, Queens County, New York!!Estimate",378,713,38.7,"36,980","56,539","2,692",0,1.2,3.1,"277,700","1,279",-,"1,287","6,704","4,940","4,844",(X),"6,704",75.58931378,42.5,"Census Tract 855, Queens County, New York","Census Tract 855, Queens County, New York!!Percent",4.00%,0.00%,4.70%,2.40%,0.90%,12.20%,3.50%,1.30%,11.10%,7.20%,21.60%,13.40%,21.20%,0.60%,7.40%,73.40%,37.30%,0.00%,0.00%,89.20%,4.90%,35.30%,66.70%,4.10%,0.80%,14.20%,8.60%,87.50%,10.90%,33.50%,31.70%,12.30%,14.50%,23.70%,1.90%,14.30%,19.80%,4.90%,0.20%,67.20%,20.20%,855,7045,14000US36081085500,36081085500,LI - At Risk of Gentrification,NY,130506,0,0.05,0,40.7596421,-73.8236353,1
1908,"Census Tract 857, Queens County, New York!!Estimate",318,527,43.5,"39,517","55,479","1,923",5.7,2.6,3.3,"286,200","1,768",705,"1,335","5,197","4,220","4,096",(X),"5,532",90.62715369,44.9,"Census Tract 857, Queens County, New York","Census Tract 857, Queens County, New York!!Percent",5.30%,0.00%,7.60%,4.80%,5.10%,6.70%,9.60%,1.00%,7.60%,10.40%,13.00%,19.10%,12.80%,2.30%,10.80%,71.10%,33.10%,0.00%,0.40%,82.80%,4.80%,36.40%,56.20%,3.90%,0.80%,13.70%,10.20%,23.30%,17.30%,29.70%,26.90%,16.70%,14.30%,20.30%,1.90%,20.60%,17.40%,1.60%,1.00%,73.80%,18.80%,857,7046,14000US36081085700,36081085700,LI - At Risk of Gentrification,NY,132521,0,0.051,0,40.7570602,-73.8230578,1
1909,"Census Tract 859, Queens County, New York!!Estimate",255,495,37.8,"44,861","64,369","2,135",4.4,6.5,3.3,"270,800","1,717",352,"1,290","5,098","3,974","3,955",(X),"5,118",108.5574572,42,"Census Tract 859, Queens County, New York","Census Tract 859, Queens County, New York!!Percent",6.50%,0.00%,8.40%,1.40%,2.70%,5.80%,2.70%,0.00%,5.50%,14.10%,23.40%,21.60%,12.20%,2.30%,7.80%,72.40%,39.40%,0.00%,1.20%,63.70%,1.30%,39.70%,52.90%,12.90%,0.90%,11.30%,8.90%,32.50%,15.60%,30.50%,22.80%,8.60%,18.70%,22.20%,1.40%,17.80%,11.40%,2.40%,0.00%,78.30%,5.60%,859,7047,14000US36081085900,36081085900,LI - At Risk of Gentrification,NY,146219,0,0.056,0,40.7549868,-73.8207973,1
1910,"Census Tract 861, Queens County, New York!!Estimate",83,230,42.7,"38,967","61,238",881,3.1,5.6,3.6,"296,100","1,700",475,"1,253","2,168","1,487","1,459",(X),"2,168",98.17184644,45.7,"Census Tract 861, Queens County, New York","Census Tract 861, Queens County, New York!!Percent",3.30%,0.00%,6.20%,2.20%,1.60%,7.80%,7.60%,1.90%,6.50%,8.80%,22.30%,19.90%,10.60%,4.70%,8.70%,80.00%,45.80%,0.00%,3.40%,54.20%,3.30%,37.90%,46.40%,9.80%,0.60%,3.80%,3.30%,45.70%,17.90%,32.60%,24.30%,14.80%,14.30%,23.00%,1.60%,23.30%,13.80%,2.10%,0.00%,75.30%,14.40%,861,7048,14000US36081086100,36081086100,LI - At Risk of Gentrification,NY,148788,0,0.057,0,40.7568129,-73.8178758,1
1911,"Census Tract 863, Queens County, New York!!Estimate",419,426,41.6,"38,958","50,361","2,714",11,0,3.1,"330,600","2,313",442,"1,321","6,588","4,909","4,815",(X),"6,598",86.22636184,40.2,"Census Tract 863, Queens County, New York","Census Tract 863, Queens County, New York!!Percent",4.80%,0.90%,3.90%,4.70%,0.40%,15.20%,5.40%,2.50%,5.60%,7.20%,19.20%,17.80%,16.60%,0.60%,11.10%,74.60%,31.80%,1.30%,0.00%,76.80%,6.20%,39.80%,67.80%,4.20%,2.30%,13.30%,10.80%,34.30%,13.30%,34.70%,28.40%,17.10%,11.10%,20.00%,2.00%,17.50%,8.10%,1.80%,0.70%,79.70%,12.10%,863,7049,14000US36081086300,36081086300,LI - Not Losing Low-Income Households,NY,144154,0,0.056,0,40.7612685,-73.8199413,0
1912,"Census Tract 864, Queens County, New York!!Estimate",109,379,48.8,"57,054","74,142",836,2.2,0,5.5,"450,600","2,492",698,"1,469","2,834","1,614","1,485",(X),"2,842",87.09677419,34.8,"Census Tract 864, Queens County, New York","Census Tract 864, Queens County, New York!!Percent",7.90%,0.30%,5.80%,4.80%,0.50%,13.80%,7.80%,5.30%,6.30%,8.30%,22.50%,16.70%,5.80%,2.10%,2.40%,83.00%,52.00%,0.00%,0.70%,45.90%,5.20%,33.00%,25.20%,26.10%,9.10%,3.70%,1.60%,77.90%,9.30%,38.50%,39.80%,9.80%,11.30%,21.90%,0.20%,11.90%,28.30%,10.50%,0.30%,29.40%,43.60%,864,7050,14000US36081086400,36081086400,MHI - Stable Exclusion,NY,1120710,0,0.433,0,40.6733398,-73.8315832,0
1913,"Census Tract 865, Queens County, New York!!Estimate",68,261,41.5,"29,147","47,115","2,292",6.9,5.1,3.2,"420,700","1,361",567,"1,485","4,561","3,813","3,766",(X),"4,561",74.28353076,48.9,"Census Tract 865, Queens County, New York","Census Tract 865, Queens County, New York!!Percent",8.40%,3.60%,7.20%,0.70%,4.30%,6.90%,3.90%,2.30%,7.00%,4.70%,12.60%,21.00%,25.70%,0.00%,16.90%,60.00%,30.10%,3.90%,0.00%,83.70%,4.40%,42.80%,67.40%,6.20%,0.70%,4.10%,4.40%,31.90%,17.70%,31.10%,25.80%,7.20%,16.00%,23.10%,2.90%,23.30%,13.70%,0.70%,0.00%,78.70%,7.60%,865,7051,14000US36081086500,36081086500,LI - Not Losing Low-Income Households,NY,158251,0,0.061,0,40.7626869,-73.8251718,0
1914,"Census Tract 869, Queens County, New York!!Estimate",153,140,36,"31,154","48,422",821,3.6,6.6,3.6,"459,200","2,067",-,"1,596","2,053","1,639","1,630",(X),"2,053",80.56288478,40.2,"Census Tract 869, Queens County, New York","Census Tract 869, Queens County, New York!!Percent",2.20%,0.00%,4.60%,1.80%,4.00%,11.30%,2.70%,0.30%,9.30%,12.20%,10.30%,30.50%,10.50%,2.50%,15.70%,58.90%,24.40%,0.00%,0.00%,81.40%,3.60%,53.60%,55.80%,2.20%,0.00%,12.90%,2.80%,57.00%,11.30%,30.00%,29.50%,15.70%,21.00%,20.20%,2.50%,16.90%,3.20%,1.00%,0.00%,84.90%,11.00%,869,7052,14000US36081086900,36081086900,LI - Ongoing Gentrification,NY,595378,18201,0.23,0.007,40.7652626,-73.83371,1
1915,"Census Tract 871, Queens County, New York!!Estimate",190,301,41.3,"38,115","54,340","1,240",22.6,4.4,3.8,"760,200","2,525",919,753,"2,263","1,122","1,089",(X),"2,263",85.33988534,34.5,"Census Tract 871, Queens County, New York","Census Tract 871, Queens County, New York!!Percent",7.50%,0.00%,2.80%,5.00%,3.10%,12.70%,9.20%,1.30%,14.70%,6.00%,22.80%,12.50%,4.50%,5.40%,23.50%,89.00%,43.70%,1.00%,17.30%,80.00%,1.30%,49.20%,69.90%,1.20%,0.00%,6.90%,4.80%,48.60%,9.00%,46.30%,35.60%,14.00%,12.40%,20.10%,4.90%,12.70%,11.40%,30.60%,0.00%,43.20%,19.10%,871,7053,14000US36081087100,36081087100,LI - At Risk of Gentrification,NY,412384,27328,0.159,0.011,40.7589475,-73.833256,1
1916,"Census Tract 884, Queens County, New York!!Estimate",260,972,44.4,"73,783","82,649","3,014",0.7,0,5.8,"567,800","2,415",938,"1,710","7,204","1,796","1,582",(X),"7,226",92.84761142,47.6,"Census Tract 884, Queens County, New York","Census Tract 884, Queens County, New York!!Percent",5.80%,0.00%,9.10%,5.30%,2.90%,8.70%,11.20%,1.10%,14.50%,7.60%,21.10%,10.10%,3.20%,5.20%,5.50%,90.30%,72.60%,0.00%,0.00%,22.80%,4.50%,16.10%,13.50%,28.10%,11.30%,0.60%,0.60%,45.40%,22.00%,32.70%,25.90%,4.80%,9.40%,20.50%,3.20%,26.60%,86.80%,1.20%,0.00%,3.70%,15.40%,884,7054,14000US36081088400,36081088400,MHI - Stable Exclusion,NY,1557916,621618,0.602,0.24,40.6557283,-73.833707,0
1917,"Census Tract 889.01, Queens County, New York!!Estimate",715,"1,175",45.3,"46,038","62,009","4,719",1.5,8.9,3.8,"232,800","1,593",528,"1,245","10,794","6,121","5,918",(X),"10,835",82.56107835,43.1,"Census Tract 889.01, Queens County, New York","Census Tract 889.01, Queens County, New York!!Percent",4.10%,0.00%,5.10%,1.80%,3.80%,12.80%,8.10%,2.30%,9.40%,14.80%,22.80%,11.10%,7.10%,0.90%,7.90%,89.40%,57.80%,0.40%,0.00%,47.20%,2.60%,32.30%,36.80%,11.60%,3.50%,3.40%,2.30%,37.90%,16.30%,36.30%,25.00%,8.40%,12.50%,29.20%,2.30%,18.40%,26.50%,2.10%,0.00%,54.10%,23.40%,889.01,7055,14000US36081088901,36081088901,LI - Ongoing Gentrification,NY,657467,0,0.254,0,40.7725905,-73.8282176,1
1918,"Census Tract 892, Queens County, New York!!Estimate",289,"1,103",35.8,"95,625","139,968","2,823",4.3,0,7.3,"667,800","2,592","1,084","1,979","7,736","1,497","1,428",(X),"7,736",89.05180841,49.2,"Census Tract 892, Queens County, New York","Census Tract 892, Queens County, New York!!Percent",6.00%,0.00%,5.50%,7.10%,3.50%,8.50%,7.00%,3.10%,8.60%,10.40%,29.80%,6.00%,5.80%,4.70%,2.30%,96.20%,80.00%,0.00%,1.80%,10.10%,0.40%,13.40%,8.60%,39.30%,23.70%,4.50%,0.00%,58.50%,23.20%,33.40%,25.80%,7.80%,4.90%,34.10%,3.90%,28.10%,91.60%,0.00%,0.00%,2.30%,8.50%,892,7056,14000US36081089200,36081089200,MHI - Advanced Gentrification,NY,2874373,505629,1.11,0.195,40.6522124,-73.8473336,1
1919,"Census Tract 907, Queens County, New York!!Estimate",102,206,37.5,"51,750","67,504",460,5.2,0,5.7,"625,800","3,041",784,"1,527","1,234",555,555,(X),"1,234",110.9401709,40.6,"Census Tract 907, Queens County, New York","Census Tract 907, Queens County, New York!!Percent",6.20%,0.00%,8.40%,4.00%,3.00%,12.00%,6.40%,0.60%,4.40%,9.00%,15.00%,22.40%,12.00%,2.80%,10.60%,90.80%,63.30%,0.00%,0.00%,37.30%,3.70%,22.70%,18.00%,20.70%,13.30%,1.70%,0.00%,56.30%,19.20%,34.40%,25.00%,8.70%,13.10%,17.70%,0.00%,20.50%,47.80%,0.00%,0.00%,43.20%,14.20%,907,7057,14000US36081090700,36081090700,LI - Not Losing Low-Income Households,NY,2022039,332865,0.781,0.129,40.773539,-73.8387968,0
1920,"Census Tract 916.01, Queens County, New York!!Estimate",231,697,42.1,"100,909","120,493","2,377",0,0,5.5,"548,100","2,066",609,-,"3,923",168,137,(X),"3,928",93.87956565,47.5,"Census Tract 916.01, Queens County, New York","Census Tract 916.01, Queens County, New York!!Percent",5.00%,0.00%,4.40%,0.70%,0.50%,4.80%,8.40%,2.00%,12.90%,7.60%,28.60%,7.20%,3.10%,19.70%,2.30%,98.20%,92.50%,4.90%,1.20%,3.00%,4.70%,14.70%,8.20%,46.80%,7.00%,1.10%,0.00%,50.90%,22.20%,35.60%,20.10%,1.20%,2.00%,47.20%,5.50%,25.80%,96.10%,0.30%,0.00%,0.30%,3.80%,916.01,7058,14000US36081091601,36081091601,MHI - Advanced Gentrification,NY,4374026,4924631,1.689,1.901,40.5585161,-73.9175334,1
1921,"Census Tract 916.02, Queens County, New York!!Estimate",0,0,-,-,-,0,-,-,-,-,-,-,-,0,0,0,(X),0,#DIV/0!,-,"Census Tract 916.02, Queens County, New York","Census Tract 916.02, Queens County, New York!!Percent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916.02,7059,14000US36081091602,36081091602,Missing Data,NY,1277598,1124549,0.493,0.434,40.5603525,-73.8870179,0
1922,"Census Tract 918, Queens County, New York!!Estimate",0,0,N,-,N,3,0,-,-,-,-,-,-,7,4,4,(X),7,133.3333333,-,"Census Tract 918, Queens County, New York","Census Tract 918, Queens County, New York!!Percent",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.90%,0.00%,0.00%,57.10%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,57.10%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,57.10%,100.00%,0.00%,0.00%,0.00%,0.00%,918,7060,14000US36081091800,36081091800,Missing Data,NY,1126858,2293626,0.435,0.886,40.5685017,-73.8719915,0
1923,"Census Tract 919, Queens County, New York!!Estimate",400,727,38.9,"48,304","69,138","1,802",1.7,3.5,4.7,"483,400","2,292",851,"1,547","5,626","3,236","3,148",(X),"6,218",108.727761,42.3,"Census Tract 919, Queens County, New York","Census Tract 919, Queens County, New York!!Percent",7.40%,0.80%,4.90%,3.70%,1.50%,13.20%,14.10%,1.40%,7.10%,8.70%,19.60%,15.80%,8.50%,0.60%,5.60%,78.10%,52.10%,0.00%,2.00%,55.00%,4.70%,33.10%,25.50%,20.60%,11.30%,5.70%,4.00%,52.90%,17.00%,40.20%,30.60%,13.90%,14.70%,16.70%,5.20%,19.70%,29.50%,3.50%,0.30%,35.10%,38.10%,919,7061,14000US36081091900,36081091900,LI - Not Losing Low-Income Households,NY,450773,327380,0.174,0.126,40.7764062,-73.8484646,0
1924,"Census Tract 922, Queens County, New York!!Estimate",168,295,44.9,"123,438","162,138",828,0,0,6.7,"797,800","3,293","1,220","1,448","1,990",235,235,(X),"1,990",82.23443223,50.7,"Census Tract 922, Queens County, New York","Census Tract 922, Queens County, New York!!Percent",4.80%,0.00%,3.90%,1.60%,1.80%,10.70%,1.60%,2.50%,9.30%,6.80%,40.50%,11.30%,2.30%,7.50%,2.70%,98.30%,85.60%,0.60%,0.70%,8.10%,0.80%,5.70%,8.10%,37.80%,21.20%,0.00%,0.00%,58.00%,22.00%,26.20%,24.80%,0.40%,2.10%,61.40%,5.00%,25.00%,97.80%,0.00%,0.40%,1.80%,4.80%,922,7062,14000US36081092200,36081092200,MHI - Ongoing Exclusion,NY,633290,700664,0.245,0.271,40.5732499,-73.8598028,0
1925,"Census Tract 925, Queens County, New York!!Estimate",306,662,44.4,"41,969","55,521","1,262",5.3,0,4.5,"488,800","2,842",719,"1,433","3,857","1,711","1,635",(X),"3,862",90.15263417,34,"Census Tract 925, Queens County, New York","Census Tract 925, Queens County, New York!!Percent",5.90%,0.00%,13.20%,5.00%,3.00%,11.30%,4.20%,2.30%,5.20%,8.60%,21.50%,11.30%,11.10%,3.30%,9.00%,80.00%,45.30%,0.00%,0.60%,67.10%,2.10%,37.40%,35.80%,13.00%,5.40%,6.40%,0.00%,59.70%,10.20%,37.20%,30.40%,12.10%,12.10%,12.40%,2.30%,14.90%,35.00%,4.20%,2.80%,25.30%,45.80%,925,7063,14000US36081092500,36081092500,LI - Not Losing Low-Income Households,NY,312425,0,0.121,0,40.7824818,-73.844768,0
1926,"Census Tract 928, Queens County, New York!!Estimate",70,728,36.9,"138,158","178,955","1,296",0,0,7.3,"799,200","3,208","1,045",-,"3,323",298,280,(X),"3,323",135.0070721,47.6,"Census Tract 928, Queens County, New York","Census Tract 928, Queens County, New York!!Percent",2.90%,0.00%,10.10%,3.60%,1.90%,3.30%,2.20%,3.10%,16.50%,11.20%,38.70%,4.50%,2.20%,2.70%,0.40%,97.60%,88.60%,2.70%,0.00%,5.70%,1.70%,7.10%,6.50%,48.10%,17.30%,3.20%,0.00%,66.80%,17.80%,34.40%,19.10%,0.40%,2.10%,56.60%,3.10%,26.60%,98.30%,0.40%,0.80%,0.20%,1.90%,928,7064,14000US36081092800,36081092800,MHI - Stable Exclusion,NY,762718,897590,0.294,0.347,40.5731798,-73.8518167,0
